Title,Article,Rating
Earnings This Week,"The Q2 earnings season is about to come to a close, and some lined up this week Tuesday, August 8 Clear Channel Communications",
Everything we know about the iPhone 7,"Shutterstock Even though we're still months away from Apple's Fall iPhone event, the rumors are heating up. One the freshest rumors claims that Apple will introduce a new color option for the next iPhone. Want to know the latest? Here's everything we're hearing about the iPhone 7. EXCLUSIVE FREE REPORT: 25 Big Tech Predictions by BI Intelligence. Get the Report Now ",
"Buy Bajaj Finserv Ltd., target Rs 2850.0 :  Kunal Bothra","Kunal Bothra of ET Now has Buy call on with a target price of Rs 2850.0. The current market price of Bajaj Finserv Ltd. is 2688.45. Time period given by analyst is Intra Day, when Bajaj Finserv Ltd. price can reach defined target. Kunal Bothra recommended to keep stop loss at Rs 2650.0.",
Banks and tech firms apply blockchain to trade finance,"  LONDON/HONG KONG An HSBC and Bank of America Merrill Lynch venture and financial technology firm R3 said separately on Wednesday that they had created ways of using blockchain technology to simplify trade finance processes. The two banks said they had joined with the Infocomm Development Authority of Singapore to emulate a letter of credit (LOC) transaction. Letters of credit are one of the most widely used ways to reduce risk between importers and exporters, helping guarantee more than $2 trillion worth of transactions, but the process creates a large paper trail and is time consuming. Meanwhile, R3 said more than 15 of its consortium member banks have also designed self-executing transaction agreements, known as smart contracts, on R3s distributed ledger platform to process accounts receivable purchase transactions, known as invoice financing or factoring, and LOC transactions.  By putting the transaction on a distributed ledger, the importer and its bank, together with the exporter and its own bank, can see the data in real time. Financial services companies around the world have been focusing on developing blockchain technology, with advocates saying it has the potential to save billions of dollars in costs and speed up transaction times. The technology, which underpins the digital currency bitcoin, creates a shared database in which participants can trace every transaction.  Discussions are underway with other banks, corporate clients and shipping companies to further develop the technology, which is in its early stages, said Vivek Ramachandran, global head of product for HSBC's trade finance business.  (Reporting by Elzio Barreto; Editing by Alexander Smith and Louise Heavens)",
"Community Connect: Product Strategist, NYC","Community Connect Inc. has an immediate opening for a talented and self-motivated Product Strategist. Community Connect Inc. is the only privately held Internet company keenly focused on three of the most rapidly growing U.S. ethnic audiences: Asian Americans, African Americans and Latinos. The Product Strategist is responsible for the product strategy of the core community services for our 3 ethnic-market leading sites AsianAvenue.com, BlackPlanet.com and MiGente.com.",
P2P Tech Firm CacheLogic Raises $20M in Third Round Funding,"CacheLogic , a Cambridge, UK-based P2P technology firm, has received $20 million in thurd round funding, led by Amadeus Capital Partners, and included existing investor 3i along with syndicate members Pentech Ventures and The Cambridge Gateway Fund. It will use the new funding to expand sales coverage for its P2P technologies into new geographies and extend its product portfolio to provide support for the delivery of legitimate video content. CacheLogic was founded in 2002 and provides of P2P technology and monitoring services to the ISP sector. It just appointed a new CEO : Pat Chapman-Pincher, previously a Top Executive at UUNET and a member of CacheLogic board is now the new CEO.",
The 5 best new songs you can stream right now,"Bryan Bedder/Getty Green Day. Now that new music comes out every Friday - but not always on every streaming service - it can be hard to know where to find the next great song. To help you out, Business Insider compiles this rundown of the best new music you can stream right now. This week, Green Day returned with a fiery new single, and a previously unreleased song from The White Stripes surfaced. Check out the best new songs below:",
"Michael Phelps has the perfect body for swimming, but that's not the only reason he's so good","Adam Pretty/Getty Images Michael Phelps is the most decorated Olympian ever, and his medal count at the Rio Olympics has continued to climb. The swimmer has long been the modern Olympian with the most individual records. Now, he's even coming up against records set 2,168 years ago. As of August 10, Phelps had tied the ancient record set by Leonidas of Rhodes for the most individual wins (12). And he still has a couple more events to go. So what makes Phelps such an incredible swimmer? Many have pointed out that he has a perfect physique for swimming, and they're not wrong: Skye Gould/Tech Insider In sports in general, there has been a sort of a ""size sort"" over recent decades, where athletes have started to focus on sports that they have an ideal body type for, Dr. Michael Joyner , a physician and Mayo Clinic researcher who is one of the world's top experts on fitness and human performance, told Business Insider. Interestingly, said Joyner, elite performers in certain sports tend to be about the same size, as you can see if you look at rowers, gymnasts, and of course, swimmers. Phelps certainly fits the bill . But there has also been unproven speculation out there that Phelps has extreme qualities that make him such a good swimmer, such as the myth that he has double the lung capacity of the average human. (There's no actual evidence for this, and Dr. H. Richard Weiner, a swimmer and former team physician who practiced sports medicine at the University of Wisconsin-Milwaukee, previously told Scientific American that some of the claims about Phelps border on the ridiculous.) While Phelps is certainly built for swimming, most of his competitors are too. They're tall, strong, long-armed, and frequently have longer-than-average torsos and relatively shorter legs. As "" The Sports Gene "" author David Epstein pointed out in a TED talk, even star water polo players share physiology that's different from the average person. But it takes more than just build to get to where Phelps is. As Weiner explained to Scientific American, physical advantages aren't sufficient on their own. You also have to have talent and technique, like Phelps' excellent stroke mechanics. If you've watched Phelps during the Rio Olympics, you'll see that he has intense focus, drive, and a competitive nature too. All of those seem to be pretty important characteristics of a top Olympian. It's the combination of all these factors that makes Phelps such an amazing athlete. Yes, his body is partly responsible, but that's not all.   NOW WATCH: 5 scientifically verified ways to appear more attractive      if (typeof RunFunctions === 'undefined') { var RunFunctions = []; } RunFunctions.push(function() { var ooyalapopvideo = OO.Player.create('ooyalaplayer_popvideo', 'p1c2MydjqUukmea8h6zbd2ZrZTq1z7ND',{ autoplay: 'false' }); });  Please enable Javascript to watch this video   (function() { function createPlayer() { OO.ready(function() { RunFunctions.forEach(function(ooyalaFunction) { ooyalaFunction(); }); RunFunctions = [];}); } createPlayer(); }()); ",
Odd Lots,"Subscribe to Bloomberg Odd Lots  on iTunes Podcasts Subscribe to Bloomberg Odd Lots onPocket Casts  Every week, hosts Joe Weisenthal and Tracy Alloway take you on a not-so-random walk through hot topics in markets, finance, and economics. There's nothing better than financial crisis hindsight and earlier this month we got a big doseof it in the form of a 218-page paper by Laurence Ball ,Department of Economics Chair at Johns Hopkins. In the paper, Ball makes the case that  contrary to statements by some policymakers Lehman Brothers could have been rescued back in 2008 andthe U.S. made a massive mistake in choosing notto do so. The paper, four years in the works, is unusual not just for the forcefulness of its argument Ball calculates that Lehman had $131 billion worth of securities that would have been eligible to secure Federal Reserve loans and thereby keep the bank in business but also inits methodology. Ball draws upon materials from the Lehman Brothers bankruptcyexaminers' report, the U.S. government's financial crisis commission inquiry, news clippings, books and the like to help draw hisconclusions. We talk to Ball about the genesis of the paper and what it means for markets today. SoundCloud: 38: The Fed Made a Massive Mistake Letting Lehman Go by Bloomberg ",
Five Things You Need to Know to Start Your Day,"Want to receive this post in your inbox every morning? Sign up here . There arehirings at Credit Suisse Group AG, on the Trump campaign, and inpost-Brexit Britain, but the real attention is on the labor-market subtext of the FOMC minutes to be released this afternoon. Anticipation is building for the July minutes of the Federal Open MarketCommittee meeting, with hawkish comments from New York Federal Reserve Bank President William Dudley on Tuesday helping the dollar snap itslosing streak . He said a September rate hike is still possible  even if markets aren't convinced that it's probable sendingthe futures-implied oddsof a rate hike in 2016 above50 percent for the first time since the aftermath of the U.K. referendum. Even so, whilemarkets do their best to parse inputs into Fed decision-making, the ground is shifting beneath their feet with ever more big names throwing shade at the efficacy of monetary-policy levers. See Paul Krugman tackle the subject in our most recentepisode of What'd You Miss. Money managers aren't respecting the August lull, with changes afoot at a swath of different funds. While Credit Suisse is hiring , Paul Tudor Jones is said to be firing , after investors withdrew close to $2 billion from Tudor Investment Corp. this year. His is not the only hedge fund experiencing woesnew data from Eurekahedge showed investors pulled $5.7 billion across the industry in July, although this interesting paperdebunks the prevailing narrative on lacklusterhedge-fund returns. It's not confined tofunds: Cisco Systems Inc. is also said to be cutting 14,000 jobs . Turning a more macro lens onto labor markets, data in the U.K. showed jobless claims unexpectedly declined . Oil prices slid after weekly data highlighted expanding U.S. gasoline stockpiles , renewing concerns of a global oil glut, with Brent futures down by as much as1.2 percent by 5:47 a.m. in New York. Comments from Saudi Arabia last week that it wasprepared to stabilize markets had helped to putcrude prices on a winning tear after they'd entereda bear market in late July. The renewed uncertaintyin crude prices in recent months has slammed the brakes on asset sales in both Kazakhstan and Russia , which is delaying what would have been its biggest suchdealin a decade, a $5 billion stake in Bashneft PJSC. China's bid to open its financial borders for foreign investors took another step forward after analysts said a program to allow market participants in Hong Kong to trade stocks on the mainland Shenzhen exchange would boost its chances of getting domestic equities included in MSCI Inc.'s main benchmarks. The Shenzhen Composite Index added 0.3 percent by the market close. The exchange link, expected to commence in four months, will lift some restrictions on inbound and outbound flows. Still,effortsto manage the country'scapital account wereunderscored after Chinese authorities announced that so far this year they've arrested 450 suspects in a crackdown on using offshore companies and black-market lenders to transfer money illegally. In the U.S. election, Trump ups his game  or at least his game plan  by replacing key members of his campaign staff . Breitbart Newschair and one-time Goldman Sachs Group Inc. banker Stephen K. Bannon becomes thechief executiveof the Republican nominee's presidential machine. (Bannon was profiled by Bloomberg Businessweek last year.) Elsewhere in U.S. political news, there are signs that marijuana might liftHillary Clinton's poll showing, and that she'd pay half as much tax under a President Trump . This is what's caught our eye over the last 24 hours.",
